labels,texts
0,i love rof series  i love politics  intrigue  planing  military actions  but book borderline horrible  the ram rebellion fun first pages  got old  simply felt like bad filler worse dinner  how many pages dance instructor trying figure get dance company running  it became seinfeld show  a book nothing   i read maybe sci fi fantasy books  i count hand many i given skipped  this  this equivalent modern day reality show little nothing  some may like  may love  good  i feel ripped time money i wont buy written vd 
0,to  best recommendation book often i re read i read first time  for example  copies robert heinlein s books early tom clancy novels almost worn  by note  book gets low marks  unlike books series  it slow confusing  fans series probably read book contain information important books series  characters stories soon forget  i 
0,sorry terrible review title  given subject matter book  but book death march  long slog trivia might fascinating baen s bar fanatics  rest us find pretty boring  the greatest thing fact told great story  strong enough hold history hung  the storytelling n t nearly strong  history weighs  recommended die hard fans 
1,while book n t quite standards previous books series  s still good read  a bit analytical lacking  big names history  factor s predecessors  manages remain entertaining examining ground level effects intersection modern social moresth century german societal unrest  fans series well satisfied book 
0,i need start saying i thoroughly enjoyed avid fan alternate history novels  that said  wow  book serious work get  with cast characters  many go several names  multiple stories cobbled together  book place  i tend read small sessions book conducive  this book hard fans series  like stories tedious political maneuvering this counts strike two entire series   the galileo affair first  mr flint needs get series back track stop focusing side stories  the main story line solid makes great novels  save side stories short story compilations belong  i try  the baltic war next  strike three  i m done series 
0,i ve read previous entries grantville universe enjoyed quite bit  but use various writers short stories worked well time  quality writing steadily decreasing the ram rebellion reads book totally abandoned eric flint handled almost entirely regulars baen s bar  i understand baen s practice pairing up and coming writers established writers order develop new talent plot popular series  it s worked well past here simply failed  i m  book tired lackluster writing  sophomoric humor terribly slow plot progression i m putting away good  i m probably unlikely read rest series s reached point flint s cover totally meaningless representative quality writing expected within 
0,another big disappointment  we seem getting filler books  i absolutely lovedst two     from series going downhill  the ram rebellion dis jointed series short stories goats  things  made sense ended tossing trash  i feel  belongs  again the first two books absolutely spellbindin  i ll much careful  read reviews  i get sucked another turkey like  only gave star zero star rating  i m really dis appointment eric flint favorite authors  nothing personal eric  business  real piece junk 
0,i great fan eric flint s works plain awful  if i wanted read fantasy  i would buy  i feel putting book series  trying sell something otherwise would sell  i would recommend alternate history fan buy book 
0,i loved first two books series waste time  stories sheep farming ballet  kidding  call mr flint gets back struggle surviving brutalth century 
0,i must say several reviewers gave book fours fives showed livelier imagination greater writing ability people contributed book  if ve reading reviews  counted stars  ones  there s little add n t said already  i simply wanted add two cents hope i might save person eight hundred cents this book enjoyable read  say aims eric book   i buy books read enjoyment  this i finished i spent money i hate throwing away book without reading  it relief hit last page 
1,i really like  looks real  but i  weeks  i wear alot  instead wedding rings  i see tarnishes  hope  but i pay much  hey i recommend  it real good deal i payed 
0,terrible ordered angry got item maybe fault n t happy
1,great product  simple yet elegant looking  satisfied  time delivery  looks feels advertised  had issue size  returned correct size shipped immediately 
1,i n t really like wearing wedding engagement rings daily basis  i m always something hands  gym etc rings make feel uncomfortable i needlessly worry whether diamonds would drop i d lose them i bought ring amazon com cheap version wedding band looked like  i used past year trust  s lot  it still looks great  it s comfortable  maintenance  low stress  negligible investment looks great  no knows s real wedding band  it really serve purpose  i would recommend ring anyone would like something affordable everyday use n t like camerd grader s jewelry box  quality product 
1,i ve worn ring maybe times problems tarnishing discolorations  even many handwashings day  it s quite shiny  cz silver   knock prongs holding crystals large surface area compared stones  detracting sparkliness cz   i bought replace channel set eternity band problem   i little concerned pointy stones would poke finger holes inside  i n t feel  i n t understand holes 
1,this little ring worn regularly fared well  no stones fallen  s kept s sparkle little cleaning mom s friend  jeweler  commented well made ring taking quick look  i write review year   bought item  highly recommend it the thing prevented buying another giving  stars i put stamp inside ring reads   made in china   
0,this n t expensive  rather cheap looking  i seen better cz rings like  price 
0,nice first times wear  quickly look dingy  even careful get worn 
0,i rrceived ring quickly mail  because  i felt i d gotten great deal  especially i put finger  its beautiful ring  but less week  stones already gone  what disappointment 
1,good solid band right amount sparkle  using replace wedding set i m working nurse  always afraid losing diamond scratching someone otherwise  
1,love  i ordered go engagement ring save enough platinum version  size accurate  i adore 
1,i bought go engagement ring  it s really sparkly nice quality  looks nice real diamond anniversary band
1,this ring slim  fancy time  it precious ring  proud say i  it great deal   i love 
0,this rings looks nothing like picture  the stones small i barely even tell stones  ring thin small  it looks like ring i would buy egg machine  i returned promptly  this misleading buy 
0,i returned item diamonds small  it n t channel set could n t appreciate diamonds enough  i found channel set band size diamonds visible  it i expected 
0,beautiful ring   made china  printed quite clearly inside ring  n t seem like best kind gift s supposed mean something  another review warned tacky attribute ring  i thought    s waymm ring could visibly words printed interior   well  i wrong 
0,when i saw ring looked pretty  wrong  the ring looks cheesy  nothing like picture  the stones small almost existant  i could got nicer ring bubble gum machine  i n t believe i bought peice crap  i ll never another piece jewelry  unless i see hand first  i live learn everyday  i n t waste time sending back  least i learned lesson 
0,i ordered size i usually wear small i rec  info on exchange 
0,i ordered ring pretty got great reviews however  i happy price  i get 
0,it looked like aluminum foil engagement ring  i satisfied i wanted temporary wedding band get real  but i say s self s cute  it could look real finger 
0,the ring beautiful i received   stones fell first days   so i n t wear longer   
1,i got wedding ring replacement due fact wedding band small  this ring really beautiful looks real  what great price 
1,fast speed delivery  the ring shiny petite  great gift  it looks amazing light goes great everything i would definitely recommend ring buyers seeking simple yet beautiful product 
0,this i expected  price  i realized would look like expensive ring  the stones  small  it returned 
1,the rings nice looking s easy wear couple get wider look effect  i like lot 
0,after week wearing stones fell  other pretty  but cant wear anymore 
0,i wore stone already fallen  spent way much money acceptable 
1,this ring beautiful  stones set nicely gaps smooth  comfortable fit  believable stacked rings 
0,unless massive hands  thing big  soon got box put hand back box returned  spend extra money get dreamcast controller  nyko another controller amazon longer carries  good  purple  
1,super fun filled movie depicting thirties raccoon hunt  it speed boats  air boats  old jalopies  horses  coon dogs  loopy characters  definitely politically correct  have howling good time antics good folks like ben johnson  don johnson  jack elam among many well known character actors 
1,very funny movie  don johnson  ben johnson  dub taylor  this cause cry laughing  pee pants  roll floor   very funny
1,we watched movie years ago liked  it funny good family movie without bad language scenes etc  good good clean entertainment 
1,one great unknown movies time  good clean fun humor  family friendly  foul language  all together great movie bygone still holds today  this movie truely joy watch  ben johnson  don johnson host others really bring movie life  it shame see treasure like many great old movies vanish  nice see dvd i give old vhs tape rest  if like movies swamps  moonshiners  worlds first airboat  including alot self destructing prototypes   coondog race  manner good clean fun love movie 
1,this movie children funny d get tears eyes  wanted give grandson keep telling  loved 
